Realisation number,Variable,Time,Frequency,Empirical
1,x,199.0,-3.141592653589793,1.6514625853747563e-06
1,x,199.0,-2.9845130209103035,1.6446596444844542e-06
1,x,199.0,-2.827433388230814,2.776842744452652e-06
1,x,199.0,-2.6703537555513246,2.5861073998553677e-06
1,x,199.0,-2.5132741228718345,4.535622222878618e-06
1,x,199.0,-2.356194490192345,8.689092287459131e-06
1,x,199.0,-2.199114857512855,9.737948725669094e-06
1,x,199.0,-2.0420352248333655,8.39174073514656e-06
1,x,199.0,-1.884955592153876,5.585247315795236e-06
1,x,199.0,-1.7278759594743864,3.9892599636923e-06
1,x,199.0,-1.5707963267948966,8.681140494204785e-06
1,x,199.0,-1.413716694115407,1.2534765880461866e-05
1,x,199.0,-1.2566370614359172,9.217950193468778e-06
1,x,199.0,-1.0995574287564276,9.427481188346992e-06
1,x,199.0,-0.942477796076938,1.2162685891009002e-05
1,x,199.0,-0.7853981633974483,2.5802532920037412e-05
1,x,199.0,-0.6283185307179586,2.8879917176214133e-05
1,x,199.0,-0.471238898038469,2.823855414558337e-05
1,x,199.0,-0.3141592653589793,3.0984039476748354e-05
1,x,199.0,-0.15707963267948966,2.6634056650168798e-05
1,x,199.0,0.0,1.3053327689019552e-05
1,x,199.0,0.15707963267948966,2.6634056650168798e-05
1,x,199.0,0.3141592653589793,3.0984039476748354e-05
1,x,199.0,0.471238898038469,2.823855414558337e-05
1,x,199.0,0.6283185307179586,2.8879917176214133e-05
1,x,199.0,0.7853981633974483,2.5802532920037412e-05
1,x,199.0,0.942477796076938,1.2162685891009002e-05
1,x,199.0,1.0995574287564276,9.427481188346992e-06
1,x,199.0,1.2566370614359172,9.217950193468778e-06
1,x,199.0,1.413716694115407,1.2534765880461866e-05
1,x,199.0,1.5707963267948966,8.681140494204785e-06
1,x,199.0,1.7278759594743864,3.9892599636923e-06
1,x,199.0,1.884955592153876,5.585247315795236e-06
1,x,199.0,2.0420352248333655,8.39174073514656e-06
1,x,199.0,2.199114857512855,9.737948725669094e-06
1,x,199.0,2.356194490192345,8.689092287459131e-06
1,x,199.0,2.5132741228718345,4.535622222878618e-06
1,x,199.0,2.6703537555513246,2.5861073998553677e-06
1,x,199.0,2.827433388230814,2.776842744452652e-06
1,x,199.0,2.9845130209103035,1.6446596444844542e-06
1,x,199.0,3.141592653589793,1.6514625853747563e-06
1,x,219.0,-3.141592653589793,1.7307865415419247e-06
1,x,219.0,-2.9845130209103035,1.9535709023416193e-06
1,x,219.0,-2.827433388230814,3.119545163960109e-06
1,x,219.0,-2.6703537555513246,2.609216108817731e-06
1,x,219.0,-2.5132741228718345,4.629809109976379e-06
1,x,219.0,-2.356194490192345,8.697045762107057e-06
1,x,219.0,-2.199114857512855,9.394010092116426e-06
1,x,219.0,-2.0420352248333655,8.602900684042084e-06
1,x,219.0,-1.884955592153876,5.052123719293636e-06
1,x,219.0,-1.7278759594743864,3.3308244503010265e-06
1,x,219.0,-1.5707963267948966,8.833514603419562e-06
1,x,219.0,-1.413716694115407,1.2665096450203427e-05
1,x,219.0,-1.2566370614359172,1.024719013408275e-05
1,x,219.0,-1.0995574287564276,9.374646095684253e-06
1,x,219.0,-0.942477796076938,1.3313207102746647e-05
1,x,219.0,-0.7853981633974483,2.4376077257743126e-05
