Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Lag-1 AC
1,0.8150023368125876,0.8150023368125876,-0.49174326219037234,0.9591577088850807,0.6526315789473685,0.9538090045178376
2,0.3520537986186841,0.3520537986186841,-0.6072856623565456,0.9224437866749753,0.5894736842105264,0.8062003427325128
3,0.6570597704730746,0.6570597704730746,-0.4051773381108168,0.9155372072493119,0.19999999999999998,0.8598431739107857
4,0.49345692475463465,0.49345692475463465,-0.21932284364127327,0.8800695850859427,0.6736842105263158,0.7649166536843744
5,0.5685724671548008,0.5685724671548008,0.6060912914784234,0.8952588669055408,0.8842105263157894,0.7603728514306485
6,0.6269148880926415,0.6269148880926415,0.2793010333904554,0.9385677935296255,0.6105263157894737,0.8558705925118139
7,0.011580204600924338,0.011580204600924338,0.5352599054889131,0.955860206678091,0.010526315789473684,0.5307161032351871
8,-0.4699070467881809,-0.4699070467881809,0.6102975541361582,0.9305447369787608,0.4736842105263158,0.8043828218310224
9,0.37503245573038374,0.37503245573038374,-0.03923248688788492,0.9294282598535597,0.8631578947368421,0.9021914109155111
10,0.2644492911668484,0.2644492911668484,-0.06166588772913745,0.8541309653632445,0.6105263157894737,0.8482629693098612
11,0.05740769590278859,0.05740769590278859,-0.22124422287999165,0.916238251025601,0.4421052631578947,0.8504959235602637
12,0.8749026328088487,0.8749026328088487,-0.07755621332502466,0.9668951550085683,0.9052631578947369,0.9143947655398036
13,0.42659812016409615,0.42659812016409615,0.4345173183777327,0.9337124162642155,-0.12631578947368421,0.8687749909123955
14,0.33167159993768497,0.33167159993768497,0.16736771044295579,0.8356701459209638,0.6000000000000001,0.7834813314638832
15,0.7788336708729292,0.7788336708729292,-0.6206833878589603,0.9601962922573609,0.9263157894736842,0.910915511242665
16,0.8296723269460455,0.8296723269460455,0.3970763878070312,0.9637534403074205,0.8526315789473685,0.9196655761541257
17,0.5825673780962766,0.5825673780962766,0.4476553980370774,0.8374097730695331,0.7052631578947369,0.787765487874539
18,0.7112478579217946,0.7112478579217946,0.7075349223658929,0.9332190891623825,0.7789473684210527,0.9219504595731421
19,0.3759152515968219,0.3759152515968219,0.33857817936334833,0.9278184556265253,0.8631578947368421,0.8933894168354365
20,0.7748610894739574,0.7748610894739574,-0.6648491457651763,0.9599626109985978,0.8842105263157894,0.9666614737498052
21,0.3868463415900711,0.3868463415900711,0.42387183881186064,0.910967440411279,0.8736842105263158,0.8949472918938568
22,0.7355247442488445,0.7355247442488445,0.6939814093576362,0.9582489484343355,0.7052631578947369,0.9431375603676584
23,0.29023212338370463,0.29023212338370463,0.14768655553824583,0.8920132938671651,0.8526315789473685,0.817520901490367
24,0.07386924235342991,0.07386924235342991,0.30033234667912967,0.861634730227969,0.5578947368421052,0.8716830243547801
25,0.9192501428052136,0.9192501428052136,-0.7471049488497689,0.9749961053123538,0.9578947368421054,0.960663654774887
26,0.7632808848730331,0.7632808848730331,-0.7309549774108116,0.951394298177286,0.8842105263157894,0.8840162019006076
27,-0.20140728046943968,-0.20140728046943968,-0.6849716986031053,0.8403178065119177,0.5789473684210527,0.8596354572363295
28,0.6273822506101677,0.6273822506101677,0.7459365425559537,0.8781222412629173,0.45263157894736844,0.8380069585085942
29,0.5670924858493015,0.5670924858493015,0.4330892662408474,0.9370618476398194,0.8421052631578948,0.8693202471828425
30,0.7906215921483096,0.7906215921483096,0.35389728410448146,0.95526302123903,0.6736842105263158,0.8609856156202939
31,-0.2607882847795607,-0.2607882847795607,-0.5627823648543386,0.9320506828685672,0.6000000000000001,0.7142597497014072
32,0.1450900971075453,0.1450900971075453,-0.12707067559848365,0.638832632289557,0.22105263157894736,0.6715220439320766
33,0.06740406086098562,0.06740406086098562,0.09134340759204444,0.842057433660487,-0.10526315789473685,0.6079607415485277
34,0.06234096692111958,0.06234096692111958,0.5618476398192864,0.8763826141143479,0.2947368421052632,0.906527496494781
35,0.8829516539440203,0.8829516539440203,0.22275016876979797,0.9728670093991794,0.8947368421052632,0.9287272160772706
36,-0.4375032455730383,-0.4375032455730383,0.3065378823285039,0.88650880199408,0.0,0.8275951602014852
37,0.5605234460196292,0.5605234460196292,-0.6958248948434336,0.8722542452095341,0.7789473684210527,0.886586695747001
38,0.42511813885859684,0.42511813885859684,0.15856571636288103,0.9285194994028145,0.7368421052631579,0.9253258555330529
39,0.366516072077686,0.366516072077686,0.5189801111284208,0.9213532741340811,0.39999999999999997,0.861401048969206
40,-0.21963441865295735,-0.21963441865295735,0.4833047722905956,0.8237004725554343,-0.06315789473684211,0.8049280781014696
41,0.5197850132419379,0.5197850132419379,0.5238354883938309,0.8501064547956586,0.6105263157894737,0.8339305187723944
42,0.7640078932336293,0.7640078932336293,-0.8477177130394142,0.9055408422911149,0.8421052631578948,0.9536791815963026
43,0.5116061691852314,0.5116061691852314,-0.6142961001194371,0.9193020719738276,0.8526315789473685,0.951004829412681
44,0.6147115334683491,0.6147115334683491,0.6401308615049073,0.9275588097834554,0.8315789473684211,0.9465129563275692
45,0.6927351093108999,0.6927351093108999,0.6357428467570233,0.9466427792491041,0.7999999999999999,0.9023991275899672
