Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Smax/Var,Lag-1 AC
1,0.9833841110339052,0.9833841110339052,0.2590125964330892,0.9947690060042403,0.9912917271407838,0.5703918722786647,0.9157553405669284
2,0.9884405010066456,0.9884405010066456,0.41501950932706183,0.9967110303419031,0.9651669085631351,0.7111756168359943,0.8924154150408894
3,0.9894738717551268,0.9894738717551268,0.1392983768952554,0.9959377839542465,0.984034833091437,0.5021770682148041,0.921082544942719
4,0.9788764765620824,0.9788764765620824,-0.7877171414827088,0.9877741550412458,0.9709724238026126,0.7997097242380262,0.8754859515028417
5,0.9901901045842464,0.9901901045842464,-0.26446451796817927,0.996479412760347,0.9767779390420901,0.16835994194484763,0.925141197641064
6,0.9876779446612146,0.9876779446612146,0.011156840736187574,0.9949543000694852,0.9782293178519594,0.6168359941944848,0.9358918167726762
7,0.9851942915174513,0.9851942915174513,0.5973239260961747,0.9935859746645999,0.9738751814223513,0.6690856313497823,0.7833342241701855
8,0.9811498922087408,0.9811498922087408,0.2038341618116058,0.9942737007144511,0.9332365747460089,0.362844702467344,0.9166925009353787
9,0.992285352860477,0.992285352860477,-0.1744009122169366,0.9977052042688902,0.9738751814223513,0.555878084179971,0.860159994298644
10,0.9757656742744134,0.9757656742744134,0.06874409820585457,0.991355319186844,0.9593613933236576,0.47605224963715537,0.9024604913856076
11,0.9882730236784434,0.9882730236784434,0.42752329538368344,0.9962085983572967,0.9825834542815677,0.679245283018868,0.8584460241951289
12,0.9922924795552941,0.9922924795552941,-0.26467831881269266,0.9970602383879417,0.9680696661828737,0.621190130624093,0.9290181196215725
13,0.9903575819124484,0.9903575819124484,-0.42957222014360286,0.9969889714397704,0.9448476052249637,-0.12191582002902758,0.9070465195004186
14,0.9854936126997701,0.9854936126997701,0.25409874035669106,0.9937677053824362,0.9796806966618288,0.46444121915820036,0.9151353181178399
15,0.9934291873786234,0.9934291873786234,-0.534498547935931,0.9979154417659949,0.9796806966618288,0.43976777939042094,0.9108236677534876
16,0.9908350704651949,0.9908350704651949,0.06639585226361644,0.9963582589484561,0.9898403483309145,0.690856313497823,0.9426194166800292
17,0.9883050938051205,0.9883050938051205,-0.4157820656724927,0.9958308835319899,0.9753265602322206,0.3991291727140784,0.907356530724963
18,0.9873322999625848,0.9873322999625848,0.449384431735172,0.9945730218967697,0.9883889695210449,0.7329462989840348,0.9109163147861099
19,0.9899763037397331,0.9899763037397331,-0.17442229230138792,0.9960518110713203,0.9709724238026126,0.6153846153846154,0.9027526858731092
20,0.9894667450603096,0.9894667450603096,0.11145794359221052,0.9955137456126284,0.9941944847605225,0.8490566037735849,0.8687904217221658
21,0.9875959876708179,0.9875959876708179,0.52796336878864,0.9953070714629322,0.9796806966618288,0.7968069666182874,0.8952197694514227
22,0.9832736472642399,0.9832736472642399,0.3471377411940777,0.9927913481924919,0.969521044992743,0.6008708272859217,0.9385251305075988
23,0.9855328095212642,0.9855328095212642,-0.1610205426978103,0.9952963814207066,0.9608127721335269,0.3483309143686502,0.8742565966468899
24,0.9894738717551268,0.9894738717551268,0.1294528480054163,0.9954638587489086,0.9637155297532656,0.5820029027576198,0.9318794875906427
25,0.9827248917633225,0.9827248917633225,0.039189694799294454,0.9928483617510289,0.9680696661828737,0.7576197387518143,0.8754182479020791
26,0.9881055463502413,0.9881055463502413,0.6753042207850054,0.9961444581039427,0.9811320754716981,0.6037735849056605,0.7239439129117893
27,0.9881661232561868,0.9881661232561868,0.09343096905232776,0.9965898765300122,0.9608127721335269,0.6632801161103048,0.9130471965364262
28,0.9885794715555792,0.9885794715555792,0.16205035009888288,0.9940207030484436,0.9796806966618288,0.8243831640058056,0.8950309120387692
29,0.9893313378587844,0.9893313378587844,-0.06865857786804924,0.9961587114935769,0.9637155297532656,0.6632801161103048,0.93793005149037
30,0.9881981933828639,0.9881981933828639,0.5446647780925401,0.9959734174283321,0.9753265602322206,0.7590711175616836,0.7929374454362427
31,0.9881518698665526,0.9881518698665526,-0.16347212571489655,0.9947547526146061,0.9883889695210449,0.6835994194484761,0.9292960607194398
32,0.9861884654444385,0.9861884654444385,-0.10683271865590534,0.9955422523918969,0.918722786647315,0.02177068214804064,0.7586366632814865
33,0.9898658399700678,0.9898658399700678,-0.22036809378730376,0.9966753968678175,0.9941944847605225,0.5573294629898404,0.9300514903700535
34,0.9896841092522314,0.9896841092522314,-0.4492989113973666,0.9968143674167512,0.9869375907111756,0.6937590711175617,0.9041245746254031
