Realisation number,Variance,Standard deviation,Kurtosis,Coefficient of variation,Smax,Smax/Var,Lag-1 AC
1,0.9702567391807864,0.9702567391807864,0.2791170025121599,0.9801735350187967,0.9927431059506532,0.29898403483309144,0.7548416982913749
2,0.9745113759866016,0.9745113759866016,0.3308674969266128,0.983081226504178,0.9941944847605225,0.532656023222061,0.7348691360664207
3,0.9710371122632601,0.9710371122632601,0.5720989897910097,0.9796033994334277,0.9521044992743107,-0.1988388969521045,0.6622445525326491
4,0.9715074741211893,0.9715074741211893,-0.2718798439253835,0.9791579810073582,0.9796806966618288,0.7706821480406386,0.7125055677303258
5,0.9762502895219769,0.9762502895219769,0.12372654871986742,0.9827961587114935,0.9825834542815677,0.2119013062409289,0.7861955921392556
6,0.9703885830349029,0.9703885830349029,0.5954317886222317,0.9789584335524791,0.9912917271407838,0.656023222060958,0.7641170915958451
7,0.9749354143282198,0.9749354143282198,0.5172198763518449,0.9821939529994476,0.9782293178519594,0.47314949201741663,0.564591016801183
8,0.9632120013540719,0.9632120013540719,0.17685249523402283,0.9702068523170666,0.9796806966618288,0.25689404934687954,0.797441516560657
9,0.9814278333066082,0.9814278333066082,0.17811035686924295,0.9869652751795035,0.9912917271407838,0.5413642960812772,0.730753469809539
10,0.9566696955119639,0.9566696955119639,0.44198692251501054,0.963379478682274,0.969521044992743,0.6821480406386067,0.8221390774493558
11,0.970010868209596,0.970010868209596,0.3382222459778716,0.9770164092148164,0.9970972423802613,-0.5050798258345428,0.45286938550073935
12,0.967990450228945,0.967990450228945,0.17663156769469238,0.9750850749193791,0.995645863570392,0.6952104499274311,0.8494236285566661
13,0.96267393589538,0.96267393589538,0.7661018761024105,0.9702104156644751,0.9854862119013063,0.26415094339622647,0.8095818411816059
14,0.981606000677036,0.981606000677036,-0.1952464945569868,0.9878382952945998,0.9825834542815677,0.5849056603773586,0.6635772444634489
15,0.9857893705346803,0.9857893705346803,-0.08396315498779552,0.9903112583961373,0.9941944847605225,0.46444121915820036,0.7125412012044113
16,0.9643629625670355,0.9643629625670355,0.7498850820460741,0.9742227448465087,0.9898403483309145,0.714078374455733,0.8421258930639443
17,0.9691627915263598,0.9691627915263598,-0.06282181481283516,0.9749674844548969,0.9970972423802613,0.3309143686502177,0.7846776061432108
18,0.9581912448554172,0.9581912448554172,0.7337146115060487,0.9668965025745185,0.9970972423802613,0.5645863570391872,0.8165909455342347
19,0.9860922550644073,0.9860922550644073,-0.3820478557556969,0.9914800363461436,0.9927431059506532,0.29898403483309144,0.8532435369786376
20,0.9708268747661551,0.9708268747661551,0.5753630160172465,0.9775544746735082,0.9883889695210449,0.5181422351233672,0.7029807401072568
21,0.9750815115719706,0.9750815115719706,0.4482405972170257,0.9821761362624047,0.9912917271407838,0.7503628447024674,0.6672653090313039
22,0.9707983679868868,0.9707983679868868,-0.09927842214976748,0.9783704812300674,0.9854862119013063,0.33671988388969526,0.7952108610829012
23,0.9505834981381509,0.9505834981381509,0.3157446505247029,0.9628235964865395,0.9970972423802613,0.15384615384615385,0.7589502378534395
